アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10006770,"抽選 (落選)",2020002310,"2021年4月24日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002310,"2021年4月24日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002311,"2021年4月24日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002311,"2021年4月24日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020000665,"2021年4月24日 12:30～14:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020000665,"2021年4月24日 12:30～14:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020000666,"2021年4月24日 14:30～16:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002312,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002312,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002313,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"抽選 (落選)",2020002313,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10006770,"予約 (仮予約)",2020004549,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004549,"2021年4月25日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004550,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"予約 (仮予約)",2020004550,"2021年4月25日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ",,"  ","  ","  ",,,,,"  ",未審査,"  "
10006770,"抽選 (落選)",2020002314,"2021年4月29日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
